Document ID,Weight,Is Retweet?,Document Text
1333132355117178880,0.03157,Original,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333132680477564929,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333133041397624836,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333133068996112394,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333133561839427587,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333133876022034434,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333134343594602496,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333135352840634368,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333135613919440897,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333136460308856833,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333137694709452801,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333138222197530625,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333138617619804161,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333139030133923846,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
1333139134316048384,0.03157,Retweet,Horrific for Ontario court to set negative Covid test as bail condition for Skelly or ANYONE. Unethical/unlawful to force ppl to undertake medical procedure &amp; a deeply flawed test already challenged in intl courts—up to 95% false+ d/t high PCR Ct despite NO infectious/live virus
