Document ID,Weight,Is Retweet?,Document Text
1314969943020982272,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314970488272310273,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314971562282496000,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314971658256556033,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314972334109986816,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314972383841841154,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314975010293940225,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314975438666522624,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314975828074258433,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314978441108819968,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314981237518344192,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314981631237603328,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314982638072074242,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314982898345402374,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
1314983377179750401,0.01862,Retweet,"Trump WH and campaign staff are deeply depressed knowing he’s Covid-positive, physically weak, mentally unstable &amp; will lose the election. Most calls from media &amp; friends not being returned. Many believe he’s bipolar &amp; coming down from steroids throwing him into major depression."
