Document ID,Weight,Is Retweet?,Document Text
1315439991208714242,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315440031071375368,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315440050612711425,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315440470135246848,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315441546917900288,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315442054596567041,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315442103233769473,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315442108937822208,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315442323673710594,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315442680973778944,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315443208759857152,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315443311298056193,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315444373576802305,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315444654746337280,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
1315444745146073088,0.03211,Retweet,"The latest @realDonaldTrump campaign ad using Dr. Fauci’s comments out of context is pathetic. I witnessed the President &amp; WH leadership repeatedly disrespect Dr. Fauci &amp; ignore his advice, leading to POTUS’s colossal failure of a pandemic response. @TimMurtaugh HOW DARE YOU."
