Document ID,Weight,Is Retweet?,Document Text
1306685574426906625,0.02249,Original,"Tomorrow at 8AM (PST), we will showcase our vision of how we plan to rebuild post-COVID. From healthcare to childcare, addressing inequality and growing a green economy to action on the housing crisis and the climate emergency, we need bold solutions that work for people now. https://t.co/QczoUagwhu"
1306771328226164736,0.02249,Retweet,"Tomorrow at 8AM (PST), we will showcase our vision of how we plan to rebuild post-COVID. From healthcare to childcare, addressing inequality and growing a green economy to action on the housing crisis and the climate emergency, we need bold solutions that work for people now. https://t.co/QczoUagwhu"
1309849043401572358,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309849095440396288,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309855731361873920,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309858952876883968,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309860753927737344,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309875486823120898,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309882114863771648,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309895471369015298,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309896953442914307,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309896965497303042,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309905526503792640,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309906402874470401,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
1309910514919772160,0.02221,Retweet,"Spot on Roy. The financial pressure that’s about to be inflicted on Cdns will be overwhelming. We’re headed for a major economic &amp; social crisis, having despoiled chances at growth &amp; recovery by saddling our energy &amp; mfg revenue generators with stifling green regs &amp; impediments https://t.co/en9j3M4DkA"
