Document ID,Weight,Is Retweet?,Document Text
1302716984841433088,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302717140584235008,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302721869389467651,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302734706211868673,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302741383573245953,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302748910226735106,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302754440668217344,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302760795047108609,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302762012171067392,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302766598873374723,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302767755939127296,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302770415371075584,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302778176976887810,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302787049653665792,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
1302787060860776450,0.02374,Retweet,"UPDATED:”Dear Trump Supporters, Only 5 miles of NEW wall got built; Mexico didn't pay; Hillary's not locked up; Obamacare wasn't repealed; the deficit's skyrocketed; millions are unemployed; and instead of being 'great again,' America leads the global pandemic. Y'all got played."""
