Document ID,Weight,Is Retweet?,Document Text
1303556092228583424,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303556453836484609,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303556702034259968,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303556921111183361,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303557169472835584,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303558276106399745,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303559791688597505,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303559924576743426,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303561233333760002,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303563077502132224,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303565464019271680,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303565885861363712,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303568939335577600,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303569136463691777,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
1303569788078157824,0.0264,Retweet,"Earlier today my family endure the most horrific &amp; dehumanizing treatment onboard @WestJet plane. My wife was threatening to be arrested &amp; forcibly removed unless my daughters, 3 yrs &amp; 19 months would wear a mask. While my 3yrs wore her mask, the 19 months old was hysterical. https://t.co/MHnaTnKgCU"
