Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
pandemic,24302,23602,7322
people,18119,15721,5875
case,13871,10312,3889
new,13313,11473,4576
u,11745,10447,4663
de,11154,4911,1025
trump,10708,9410,3049
protest,9830,8955,3774
death,9786,8233,3510
health,9755,8894,4073
say,9102,8458,4007
one,9076,8381,4307
social,8608,8326,3837
day,8452,7540,3890
lockdown,7764,7320,3119
distancing,7547,7408,3553
home,7454,6850,3669
get,7449,6981,3801
time,7200,6799,3819
canada,6817,6282,3086
mask,6713,5851,3288
need,6553,6193,3577
today,6156,5889,3266
week,5852,5374,3147
canadian,5689,5302,2523
country,5582,5309,2987
virus,5415,5080,2833
work,5396,5022,3023
government,5285,4850,2777
still,5250,5017,3161
go,5234,4881,2979
life,5230,4953,2989
trudeau,5226,4792,1823
public,5157,4816,2837
right,5147,4813,2908
care,5040,4560,2731
many,4996,4554,2872
ontario,4986,4610,2093
state,4971,4508,2403
month,4860,4755,2863
back,4828,4505,2809
american,4747,4371,2098
world,4694,4468,2766
know,4430,4251,2825
cdnpoli,4363,4361,1824
number,4302,3946,2344
news,4300,4158,2501
stay,4298,3986,2585
would,4266,4010,2580
2,4243,3940,2602
police,4177,3751,2272
help,4177,3862,2456
spread,4154,3898,2438
million,4138,3813,2296
worker,4125,3675,2143
going,4109,3918,2543
make,4100,3989,2612
see,4001,3840,2563
take,3919,3813,2588
may,3863,3653,2366
could,3850,3697,2473
le,3814,2981,1564
business,3766,3356,2114
want,3742,3502,2390
economy,3723,3550,2237
report,3696,3447,2160
even,3677,3546,2379
via,3594,3578,2004
support,3590,3403,2251
way,3518,3356,2378
president,3500,3400,1836
year,3472,3286,2238
crisis,3468,3127,2026
family,3397,3192,2189
last,3321,3200,2113
city,3320,3044,1920
black,3302,2789,1894
china,3300,2791,1572
due,3282,3225,2270
also,3248,3202,2158
said,3242,3110,2037
1,3226,2997,2063
job,3207,2985,2052
good,3182,3070,2216
please,3120,2804,1985
since,3109,3005,2035
think,3107,2989,2113
realdonaldtrump,3088,3006,1544
died,3071,2883,1895
first,3059,2933,2082
every,3024,2701,1961
breaking,3017,2996,1839
test,2967,2592,1730
show,2966,2913,2045
much,2935,2827,2054
without,2926,2793,2039
dr,2912,2688,1802
update,2909,2765,1461
thing,2888,2768,1970
thousand,2879,2762,1755
response,2831,2751,1819
community,2822,2652,1849
3,2777,2599,1878
june,2746,2593,1690
two,2728,2616,1901
great,2700,2636,1992
riot,2696,2641,1553
keep,2677,2566,1877
positive,2665,2530,1657
racism,2628,2316,1690
another,2606,2541,1820
must,2599,2501,1807
risk,2580,2406,1711
total,2574,2291,1475
hospital,2555,2334,1563
america,2542,2441,1592
well,2539,2468,1863
onpoli,2539,2538,1215
data,2538,2270,1493
open,2535,2396,1803
medium,2535,2358,1653
minister,2525,2415,1531
global,2485,2349,1640
never,2474,2361,1724
safe,2438,2324,1755
patient,2399,2168,1470
order,2373,2273,1625
outbreak,2332,2212,1447
testing,2329,2078,1429
look,2326,2276,1692
province,2322,2240,1458
made,2315,2267,1709
come,2289,2210,1750
white,2273,2121,1465
pm,2240,2109,1386
everyone,2240,2186,1685
rule,2230,2056,1366
plan,2226,2098,1528
ford,2206,2012,1085
stop,2200,2090,1595
long,2196,2086,1595
toronto,2185,2035,1206
bc,2171,2009,1133
across,2130,2041,1429
official,2115,2089,1469
justintrudeau,2114,2076,1093
tested,2084,1822,1346
et,2076,1653,644
live,2062,1992,1336
yet,2061,2039,1567
2020,2060,1946,1378
read,2053,2012,1508
study,2049,1863,1247
important,2049,2006,1503
house,2043,1955,1396
un,2027,1755,846
end,2017,1940,1496
around,2012,1981,1495
protester,1988,1872,1357
expert,1987,1910,1406
reopening,1982,1902,1398
ever,1980,1840,1439
liberal,1975,1840,1066
4,1969,1859,1403
next,1960,1927,1505
premier,1954,1792,1128
fordnation,1954,1914,989
economic,1949,1914,1398
vaccine,1944,1561,1077
give,1942,1827,1402
got,1936,1883,1473
getting,1927,1837,1472
infection,1923,1845,1276
woman,1916,1591,1235
ableg,1908,1883,625
use,1907,1861,1460
face,1898,1829,1368
call,1890,1822,1442
really,1888,1819,1425
control,1885,1690,1291
parliament,1868,1718,983
service,1854,1760,1340
ago,1849,1636,1304
rate,1834,1667,1189
5,1826,1740,1330
reported,1824,1680,1151
part,1820,1708,1369
put,1819,1790,1415
told,1810,1714,1294
tell,1806,1778,1423
wear,1803,1688,1307
story,1792,1711,1316
leader,1779,1718,1321
cant,1742,1571,1250
better,1739,1692,1337
child,1737,1489,1052
federal,1725,1702,1233
school,1723,1474,1114
away,1721,1693,1358
doctor,1718,1641,1249
working,1714,1674,1292
question,1705,1653,1299
daily,1695,1565,1107
start,1692,1630,1309
watch,1681,1651,1169
fight,1676,1627,1260
march,1664,1562,1246
lost,1662,1594,1266
restriction,1660,1583,1197
place,1656,1613,1283
change,1656,1559,1240
nothing,1651,1591,1221
second,1648,1587,1219
money,1621,1511,1176
mean,1617,1524,1266
done,1613,1541,1266
medical,1612,1559,1168
hand,1611,1491,1178
10,1609,1519,1188
ottawa,1599,1479,960
law,1595,1510,1130
vote,1592,1443,1034
continue,1592,1571,1218
mass,1586,1468,1080
others,1581,1533,1221
yesterday,1580,1515,1207
measure,1566,1530,1188
three,1564,1551,1224
far,1561,1513,1215
remember,1559,1435,1170
national,1551,1522,1165
fact,1550,1489,1202
free,1540,1488,1211
visit,1538,1491,1204
taking,1534,1516,1214
protect,1534,1473,1153
govt,1532,1403,987
fighting,1526,1494,756
senior,1517,1279,964
line,1515,1484,1204
enough,1514,1357,1101
man,1505,1412,1141
including,1503,1480,1161
system,1499,1418,1125
sick,1496,1322,1011
left,1493,1416,1110
together,1492,1450,1141
increase,1492,1411,1073
confirmed,1489,1401,993
pour,1486,1194,428
saying,1481,1438,1159
disease,1480,1426,1067
matter,1476,1436,1194
hit,1468,1440,1131
thank,1467,1404,1119
protesting,1463,1416,1135
company,1458,1265,994
big,1444,1388,1131
nation,1440,1393,1077
find,1436,1420,1110
recovery,1435,1344,938
asymptomatic,1434,1333,970
alberta,1433,1313,704
already,1431,1410,1182
lot,1428,1383,1120
george,1427,1399,1084
trying,1415,1339,1121
gathering,1410,1338,1053
issue,1408,1360,1091
pay,1407,1265,990
floyd,1407,1358,1048
point,1406,1378,1121
6,1406,1379,1081
dead,1405,1368,1035
coming,1402,1381,1140
wrong,1399,1336,1118
wearing,1398,1342,1097
person,1397,1338,1112
full,1394,1352,1090
latest,1389,1376,1030
sure,1388,1366,1116
least,1387,1334,1114
impact,1376,1354,962
thats,1373,1317,1068
reopen,1370,1315,1046
bad,1366,1238,1042
amid,1362,1355,982
thanks,1361,1324,1102
party,1360,1299,1039
anyone,1358,1335,1063
real,1357,1330,1110
reporting,1356,1298,967
