Document ID,Weight,Is Retweet?,Document Text
1328080712248025089,0.02555,Original,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328081165614452738,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328081447110979584,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328081838259253249,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328082323246641154,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328082486933528576,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328082574519001088,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328082612523503622,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328082867876933632,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328083960241541120,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328084202248687623,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328086084476137477,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328086594050531331,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328088034605232128,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
1328088134773596160,0.02555,Retweet,"As a result of rising COVID-19 numbers, I am asking everyone to limit their trips outside of the home, except essential reasons like going to work, school, getting groceries, or for medical appointments. Families should not allow visitors to their homes &amp; avoid social gatherings. https://t.co/DpeQJ2HWAO"
